movie_id,title,original_language,status,revenue,budget,release_date,runtime,popularity,vote_average,vote_count
862,Toy Story,en,Released,373554033,30000000,10/30/1995,81,21.946943,7.7,5415
8844,Jumanji,en,Released,262797249,65000000,12/15/1995,104,17.015539,6.9,2413
15602,Grumpier Old Men,en,Released,0,0,12/22/1995,101,11.7129,6.5,92
31357,Waiting to Exhale,en,Released,81452156,16000000,12/22/1995,127,3.859495,6.1,34
11862,Father of the Bride Part II,en,Released,76578911,0,2/10/1995,106,8.387519,5.7,173
949,Heat,en,Released,187436818,60000000,12/15/1995,170,17.924927,7.7,1886
11860,Sabrina,en,Released,0,58000000,12/15/1995,127,6.677277,6.2,141
45325,Tom and Huck,en,Released,0,0,12/22/1995,97,2.561161,5.4,45
9091,Sudden Death,en,Released,64350171,35000000,12/22/1995,106,5.23158,5.5,174
710,GoldenEye,en,Released,352194034,58000000,11/16/1995,130,14.686036,6.6,1194
9087,The American President,en,Released,107879496,62000000,11/17/1995,106,6.318445,6.5,199
12110,Dracula Dead and Loving It,en,Released,0,0,12/22/1995,88,5.430331,5.7,210
21032,Balto,en,Released,11348324,0,12/22/1995,78,12.140733,7.1,423
10858,Nixon,en,Released,13681765,44000000,12/22/1995,192,5.092,7.1,72
1408,Cutthroat Island,en,Released,10017322,98000000,12/22/1995,119,7.284477,5.7,137
524,Casino,en,Released,116112375,52000000,11/22/1995,178,10.137389,7.8,1343
4584,Sense and Sensibility,en,Released,135000000,16500000,12/13/1995,136,10.673167,7.2,364
5,Four Rooms,en,Released,4300000,4000000,12/9/1995,98,9.026586,6.5,539
9273,Ace Ventura When Nature Calls,en,Released,212385533,30000000,11/10/1995,90,8.205448,6.1,1128
11517,Money Train,en,Released,35431113,60000000,11/21/1995,103,7.337906,5.4,224
8012,Get Shorty,en,Released,115101622,30250000,10/20/1995,105,12.669608,6.4,305
1710,Copycat,en,Released,0,0,10/27/1995,124,10.701801,6.5,199
9691,Assassins,en,Released,30303072,50000000,10/6/1995,132,11.065939,6,394
12665,Powder,en,Released,0,0,10/27/1995,111,12.133094,6.3,143
451,Leaving Las Vegas,en,Released,49800000,3600000,10/27/1995,112,10.332025,7.1,365
16420,Othello,en,Released,0,0,12/15/1995,123,1.845899,7,33
9263,Now and Then,en,Released,27400000,12000000,10/20/1995,100,8.681325,6.6,91
17015,Persuasion,en,Released,0,0,9/27/1995,104,2.228434,7.4,36
902,The City of Lost Children,fr,Released,1738611,18000000,5/16/1995,108,9.822423,7.6,308
37557,Shanghai Triad,zh,Released,0,0,4/30/1995,108,1.100915,6.5,17
9909,Dangerous Minds,en,Released,180000000,0,8/11/1995,99,9.481338,6.4,249
63,Twelve Monkeys,en,Released,168840000,29500000,12/29/1995,129,12.297305,7.4,2470
78802,Wings of Courage,fr,Released,0,0,9/18/1996,50,0.745542,6.8,4
9598,Babe,en,Released,254134910,30000000,7/18/1995,89,14.404764,6,756
47018,Carrington,en,Released,0,0,11/8/1995,121,1.493361,6.4,16
687,Dead Man Walking,en,Released,39363635,11000000,12/29/1995,122,6.891317,7.3,350
