movie_genre_id,movie_id,genre_id
0,862,2
1,862,6
2,862,16
3,8844,0
4,8844,1
5,8844,16
6,15602,15
7,15602,6
8,31357,6
9,31357,3
10,31357,15
11,11862,6
12,949,5
13,949,10
14,949,3
15,949,9
16,11860,6
17,11860,15
18,45325,5
19,45325,0
20,45325,3
21,45325,16
22,9091,5
23,9091,0
24,9091,9
25,710,0
26,710,5
27,710,9
28,9087,6
29,9087,3
30,9087,15
31,12110,6
32,12110,4
33,21032,16
34,21032,2
35,21032,0
36,10858,7
37,10858,3
38,1408,5
39,1408,0
40,524,3
41,524,10
42,4584,3
43,4584,15
44,5,10
45,5,6
46,9273,10
47,9273,6
48,9273,0
49,11517,5
50,11517,6
51,11517,10
52,8012,6
53,8012,9
54,8012,10
55,1710,3
56,1710,9
57,9691,5
58,9691,0
59,9691,10
60,9691,9
61,12665,3
62,12665,1
63,12665,12
64,12665,9
65,451,3
66,451,15
67,16420,3
68,9263,6
69,9263,3
70,9263,16
71,17015,3
72,17015,15
73,902,1
74,902,12
75,902,0
76,37557,3
77,37557,10
78,9909,3
79,9909,10
80,63,12
81,63,9
82,63,13
83,78802,15
84,78802,0
85,9598,1
86,9598,3
87,9598,6
88,9598,16
89,47018,7
90,47018,3
91,47018,15
92,687,3
93,139405,0
94,139405,7
95,139405,3
96,139405,16
97,33689,6
98,33689,16
99,33689,15
100,9603,6
101,9603,3
102,9603,15
103,34615,3
104,31174,3
105,31174,17
106,11443,5
107,11443,10
108,11443,3
109,11443,7
110,35196,3
111,35196,15
112,9312,5
113,9312,1
114,577,1
115,577,3
116,577,6
117,577,9
118,11861,3
119,11861,15
120,807,10
121,807,13
122,807,9
123,10530,0
124,10530,2
125,10530,3
126,10530,16
127,8391,3
128,8391,15
129,629,3
130,629,10
131,629,9
132,117164,5
133,117164,9
134,117164,3
135,11448,6
136,11448,15
137,49133,3
138,49133,18
139,26441,5
140,26441,0
141,26441,6
142,26441,16
143,97406,3
144,9089,6
145,9089,3
146,9089,15
147,11010,6
148,11010,3
149,11010,15
150,99040,9
151,99040,3
152,99040,13
153,11359,0
154,11359,16
155,11359,1
156,17182,3
157,17182,9
158,2054,14
159,2054,3
160,2054,16
161,10607,6
162,19760,6
163,19760,15
164,9536,6
165,11525,5
166,11525,12
167,40628,3
168,40628,16
169,4482,6
170,4482,15
171,10634,6
172,755,4
173,755,5
174,755,9
175,755,10
176,11859,5
177,11859,9
178,11859,15
179,28387,6
180,28387,3
181,28387,15
182,48750,3
183,48750,7
184,20927,3
185,20927,15
186,36929,6
187,36929,16
188,9102,4
189,9102,12
190,124626,11
191,27526,3
192,27526,9
193,9623,3
194,9623,9
195,46785,16
196,46785,3
197,400,3
198,400,10
199,880,3
200,880,6
201,146599,15
202,146599,3
203,8447,3
204,8447,15
205,10534,5
206,10534,3
207,17414,0
208,17414,6
209,17414,16
210,13997,6
211,2086,10
212,2086,3
213,2086,9
214,61548,3
215,9095,3
216,9095,4
217,9095,9
218,9095,15
219,12158,6
220,12158,4
221,12158,15
222,9283,6
223,9283,3
224,9283,15
225,9208,5
226,9208,0
227,9208,3
228,9208,9
229,40154,6
230,406,3
231,45549,5
232,45549,0
233,45549,3
234,45549,12
235,45549,9
236,63076,11
237,11062,3
238,11062,9
239,13685,6
240,13685,10
241,13685,3
242,47475,6
243,47475,15
244,2045,3
245,2045,13
246,2045,12
247,2045,9
248,9614,6
249,688,3
250,688,15
251,11907,3
252,11907,6
253,11907,16
254,10874,5
255,10874,6
256,10874,14
257,10874,16
258,10874,0
259,89333,11
260,96357,10
261,197,5
262,197,3
263,197,7
264,197,17
265,103,10
266,103,3
267,33542,10
268,33542,5
269,33542,6
270,33542,9
271,43566,3
272,43566,9
273,71754,3
274,43612,6
275,51352,11
276,51352,3
277,51352,18
278,16934,6
279,16934,10
280,16934,3
281,10324,6
282,10324,15
283,78406,6
284,78406,3
285,55731,5
286,55731,0
287,55731,6
288,55731,3
289,55731,16
290,32119,3
291,11066,6
292,11066,15
293,11104,3
294,11104,6
295,11104,15
296,37975,3
297,37975,15
298,2074,6
299,2074,15
300,27793,1
301,44284,3
302,110972,6
303,110972,15
304,32622,6
305,32622,3
306,73067,3
307,73067,15
308,73067,17
309,11863,5
310,11863,9
311,11863,13
312,11863,15
313,55475,6
314,55475,3
315,55475,15
316,124636,14
317,124636,11
318,9101,6
319,123360,11
320,5757,6
321,39428,3
322,9302,3
323,9302,15
324,11000,6
325,249882,3
326,16388,6
327,16388,3
328,16388,15
329,9737,5
330,9737,6
331,9737,10
332,9737,9
333,30765,5
334,30765,0
335,30765,3
336,30765,16
337,10474,3
338,10474,10
339,22279,15
340,22279,3
341,22279,6
342,30157,10
343,30157,6
344,30157,3
345,30157,9
346,568,3
347,11780,0
348,34996,3
349,34996,4
350,414,5
351,414,10
352,414,1
353,649,3
354,649,15
355,1873,3
356,1873,9
357,5894,6
358,1775,5
359,1775,6
360,8839,1
361,8839,6
362,8839,16
363,20649,13
364,20649,10
365,20649,3
366,10329,5
367,10329,0
368,10329,3
369,10329,13
370,10329,12
371,10329,9
372,8963,5
373,8963,9
374,8963,3
375,26564,11
376,8068,9
377,8068,5
378,8068,10
379,8512,3
380,8512,13
381,8512,9
382,1572,5
383,1572,9
384,13552,5
385,13552,6
386,13552,10
387,13552,3
388,259209,3
389,259209,10
390,6520,5
391,6520,0
392,6520,3
393,6520,15
394,9073,0
395,10428,5
396,10428,10
397,10428,9
398,10428,3
399,17447,6
400,17447,3
401,17447,15
402,9886,0
403,9886,5
404,9886,3
405,9886,12
406,9886,9
407,9482,12
408,19326,6
409,19326,3
410,9344,3
411,9344,10
412,9071,3
413,9071,6
414,8973,13
415,8973,4
416,8973,9
417,15730,6
418,15730,3
419,47608,3
420,47608,16
421,47608,15
422,2293,15
423,2293,6
424,9070,5
425,9070,0
426,9070,12
427,9070,16
428,9070,1
429,68274,6
430,68274,3
431,68274,15
432,48787,9
433,48787,18
434,34574,4
435,34574,9
436,1642,10
437,1642,3
438,1642,13
439,1642,9
440,1642,5
441,11472,6
442,36196,6
443,11980,1
444,11980,4
445,11980,9
446,58372,1
447,58372,6
448,58372,3
449,32646,3
450,10533,3
451,10533,7
452,10533,15
453,56088,11
454,10802,3
455,10149,6
456,10149,3
457,18402,6
458,9348,12
459,9348,4
460,9348,5
461,139408,3
462,281,10
463,281,3
464,281,12
465,281,9
466,5967,3
467,5967,15
468,79593,9
469,47939,3
470,47939,1
471,36834,3
472,36834,15
473,9090,6
474,3512,5
475,3512,9
476,52856,6
477,52856,3
478,52856,16
479,77350,11
480,9560,3
481,9560,15
482,9804,0
483,9804,5
484,31611,3
485,65796,5
486,65796,8
487,49805,3
488,26258,0
489,26258,5
490,26258,6
491,26258,10
492,26258,16
493,50797,3
494,19155,3
495,19155,17
496,76,3
497,76,15
498,11017,6
499,37141,3
500,37141,9
501,9382,6
502,9382,3
503,6715,3
504,6715,16
505,18256,9
506,18256,3
507,18256,4
508,18256,13
509,22625,3
510,22625,16
511,22625,15
512,2292,6
513,1909,15
514,1909,3
515,1909,6
516,8984,3
517,8984,9
518,8984,10
519,8984,13
520,8984,15
521,61813,9
522,4954,5
523,4954,0
524,4954,9
525,62488,10
526,62488,6
527,62488,1
528,10531,3
529,10531,9
530,10531,13
531,11929,10
532,11929,3
533,11929,13
534,8467,6
535,10451,6
536,10451,3
537,10451,15
538,20156,3
539,20156,13
540,18395,9
541,18395,6
542,18395,10
543,18395,15
544,522,6
545,522,3
546,522,7
547,397,6
548,397,15
549,10525,6
550,10525,3
551,10525,15
552,27985,5
553,27985,0
554,27985,3
555,27985,16
556,15789,15
557,15789,2
558,15789,16
559,15789,6
560,15789,0
561,27303,3
562,27303,9
563,21183,3
564,21183,16
565,21183,1
566,10954,7
567,10954,3
568,47867,3
569,47867,16
570,47867,1
571,43475,1
572,43475,2
573,43475,12
574,43475,16
575,72031,3
576,72031,5
577,72031,9
578,72031,10
579,14275,11
580,1024,3
581,1024,1
582,17207,6
583,17207,16
584,13701,3
585,13701,14
586,13701,15
587,14819,6
588,14819,16
589,14819,3
590,32631,5
591,32631,9
592,11777,6
593,11777,3
594,11777,15
595,628,4
596,628,15
597,87729,3
598,87729,15
599,18713,6
600,18713,10
601,6280,6
602,6280,16
603,6280,15
604,9061,5
605,9061,3
606,9061,13
607,9061,9
608,37108,0
609,37108,1
610,37108,6
611,37108,12
612,37108,16
613,6071,5
614,6071,10
615,6071,3
616,6071,9
617,11,0
618,11,5
619,11,12
620,9587,3
621,9587,15
622,19101,3
623,19101,16
624,19101,1
625,49980,3
626,17961,10
627,17961,3
628,18183,3
629,18183,15
630,4476,0
631,4476,3
632,4476,15
633,4476,17
634,11008,0
635,11008,6
636,11008,16
637,47504,5
638,47504,3
639,32325,10
640,32325,3
641,43742,3
642,43742,15
643,28313,3
644,11318,6
645,11318,3
646,11318,7
647,3036,3
648,3036,4
649,3036,12
650,3036,15
651,40490,5
652,40490,6
653,40490,16
654,24070,6
655,24070,3
656,24070,15
657,8986,6
658,8986,15
659,10510,1
660,10510,3
661,10510,16
662,17402,6
663,17402,15
664,38722,6
665,38722,3
666,8438,10
667,8438,3
668,11593,3
669,11593,6
670,1945,3
671,1945,9
672,39310,10
673,39310,3
674,109560,5
675,109560,9
676,109560,10
677,109560,3
678,56428,4
679,63105,12
680,63105,5
681,63105,9
682,131957,3
683,131957,15
684,241,10
685,241,9
686,241,3
687,9058,6
688,9058,3
689,9058,15
690,527,3
691,18220,3
