movie_production_co_id,movie_id,production_co_id
0,862,3
1,8844,559
2,8844,2550
3,8844,10201
4,15602,6194
5,15602,19464
6,31357,306
7,11862,5842
8,11862,9195
9,949,508
10,949,675
11,949,6194
12,11860,4
13,11860,258
14,11860,932
15,11860,5842
16,11860,14941
17,11860,55873
18,11860,58079
19,45325,2
20,9091,33
21,9091,21437
22,9091,23770
23,710,60
24,710,7576
25,9087,5
26,9087,97
27,12110,5
28,12110,97
29,12110,6368
30,21032,33
31,21032,56
32,21032,4105
33,10858,915
34,10858,1504
35,1408,183
36,1408,415
37,1408,8411
38,1408,14723
39,524,33
40,524,10898
41,524,11583
42,524,11584
43,4584,441
44,4584,932
45,5,14
46,5,59
47,9273,5682
48,9273,6194
49,9273,10210
50,11517,5
51,8012,216
52,8012,8411
53,1710,508
54,1710,10104
55,9691,1885
56,9691,5358
57,9691,6194
58,9691,10308
59,9691,23397
60,9691,25061
61,12665,175
62,12665,915
63,451,60
64,451,15547
65,16420,5
66,16420,97
67,9263,12
68,17015,288
69,902,311
70,902,590
71,902,591
72,902,592
73,902,850
74,902,851
75,902,1871
76,902,6639
77,902,7237
78,902,8170
79,902,9335
80,902,12009
81,902,18367
82,902,25020
83,902,25021
84,902,25129
85,902,47532
86,902,68517
87,902,79437
88,902,79438
89,902,79439
90,37557,2588
91,37557,4507
92,37557,23647
93,9909,915
94,9909,10103
95,9909,10288
96,63,33
97,63,507
98,63,17031
99,78802,70801
100,9598,33
101,9598,2537
102,47018,694
103,47018,874
104,47018,8363
105,47018,19316
106,47018,30226
107,47018,31080
108,47018,44821
109,687,406
110,687,1382
111,687,10163
112,139405,53390
113,33689,6130
114,33689,6194
115,33689,11661
116,33689,89131
117,9603,4
118,34615,53009
119,34615,85681
120,34615,89840
121,31174,871
122,31174,34237
123,11443,175
124,11443,476
125,11443,915
126,35196,14
127,9312,12
128,9312,4174
129,577,364
130,577,441
131,11861,33
132,11861,56
133,807,12
134,807,4286
135,807,65394
136,10530,2
137,10530,10217
138,8391,2480
139,629,361
140,629,9168
141,11448,14
142,11448,1030
143,26441,2
144,26441,175
145,97406,14
146,97406,7832
147,124057,7320
148,124057,10260
149,9089,4
150,9089,802
