movie_production_country_id,movie_id,production_country_code
0,862,US
1,8844,US
2,15602,US
3,31357,US
4,11862,US
5,949,US
6,11860,DE
7,11860,US
8,45325,US
9,9091,US
10,710,GB
11,710,US
12,9087,US
13,12110,FR
14,12110,US
15,21032,US
16,10858,US
17,1408,FR
18,1408,DE
19,1408,IT
20,1408,US
21,524,FR
22,524,US
23,4584,GB
24,4584,US
25,5,US
26,9273,US
27,11517,US
28,8012,US
29,1710,US
30,9691,FR
31,9691,US
32,12665,US
33,451,US
34,16420,IT
35,9263,US
36,17015,GB
37,17015,FR
38,902,FR
39,902,DE
40,902,ES
41,37557,CN
42,37557,FR
43,9909,US
44,63,US
45,78802,FR
46,78802,US
47,9598,AU
48,9598,US
49,47018,FR
50,47018,GB
51,687,US
52,687,GB
53,139405,US
54,33689,US
55,9603,US
56,34615,ZA
57,31174,GB
58,31174,US
59,11443,US
60,35196,US
61,9312,US
62,577,US
63,11861,US
64,807,US
65,10530,US
66,8391,CA
67,629,US
68,11448,US
69,49133,IT
70,49133,FR
71,49133,CH
72,26441,US
73,97406,FR
74,97406,US
75,9089,US
76,11010,BE
77,11010,FR
78,11010,IT
79,99040,CA
80,11359,US
81,17182,US
82,2054,US
83,10607,US
84,19760,US
85,9536,US
86,11525,US
87,40628,US
88,4482,FR
89,10634,US
90,755,US
91,11859,US
92,28387,US
93,48750,FR
94,20927,US
95,36929,US
96,9102,CA
97,9102,JP
98,9102,US
99,124626,DE
100,124626,US
101,27526,US
102,9623,US
103,46785,IR
104,400,US
105,880,NL
106,880,GB
107,880,BE
108,146599,US
109,8447,GB
110,8447,US
111,10534,US
112,17414,US
113,13997,US
114,2086,US
115,61548,US
116,9095,US
117,12158,US
118,9283,US
119,9208,US
120,40154,GB
121,406,FR
122,45549,GB
123,63076,GB
124,63076,CA
125,63076,US
126,63076,DE
127,11062,US
128,13685,US
129,47475,US
130,2045,US
131,9614,US
132,688,US
133,11907,DE
134,10874,US
135,197,US
136,103,US
137,33542,HK
138,43566,US
139,71754,CA
140,71754,GB
141,43612,FR
142,51352,GB
143,51352,US
144,51352,NL
145,16934,DE
146,16934,FR
147,16934,GB
148,10324,US
149,78406,US
150,55731,US
151,32119,CA
152,11066,US
153,11104,HK
154,37975,IT
155,2074,US
156,27793,DE
157,27793,US
158,44284,TN
159,44284,FR
160,32622,US
161,73067,GB
162,73067,US
163,73067,FR
164,73067,IE
165,11863,US
166,55475,DO
167,124636,US
168,9101,US
169,123360,US
170,5757,US
171,39428,GB
172,9302,US
173,11000,US
174,249882,HR
175,249882,CA
176,249882,US
177,16388,US
178,9737,US
179,30765,US
180,10474,US
181,22279,GB
182,30157,FR
183,30157,GB
184,30157,US
185,568,US
186,11780,GB
187,11780,US
188,34996,US
189,414,GB
190,414,US
191,649,FR
192,649,IT
193,5894,US
194,1775,CA
195,1775,US
196,8839,US
197,20649,US
198,10329,US
199,8963,US
200,26564,US
201,8068,US
202,8512,US
203,1572,US
204,13552,FR
205,13552,US
206,6520,US
207,9073,FR
208,9073,US
209,10428,US
210,17447,US
211,9886,CA
212,9886,US
213,9482,US
214,19326,US
215,9344,US
216,9071,US
217,8973,US
218,15730,CA
219,47608,US
220,2293,US
221,9070,JP
222,9070,US
223,68274,GB
224,68274,US
225,48787,DE
226,48787,RU
227,48787,GB
228,48787,US
229,34574,US
230,1642,US
231,11472,US
232,36196,US
233,11980,US
234,58372,US
235,32646,GB
236,32646,US
237,10533,US
238,10802,FR
239,10802,US
240,10149,DE
241,10149,JP
242,10149,US
243,18402,US
244,9348,US
245,139408,US
246,281,US
247,5967,DE
248,5967,FR
249,79593,US
250,47939,US
251,36834,FR
252,36834,BE
253,36834,GB
254,9090,US
255,3512,US
256,77350,US
257,9560,US
258,9804,US
259,31611,FR
260,31611,US
261,49805,GB
262,26258,US
263,50797,FR
264,50797,RU
265,19155,GB
266,19155,MK
267,19155,FR
268,76,AT
269,76,CH
270,76,US
271,11017,US
272,37141,US
273,9382,FR
274,9382,US
275,6715,US
276,18256,US
277,22625,IE
278,22625,GB
279,2292,US
280,1909,US
281,8984,US
282,61813,US
283,61813,CA
284,4954,US
285,62488,US
286,10531,US
287,10531,FR
288,10531,GB
289,11929,US
290,8467,US
291,10451,TW
292,10451,US
293,20156,CA
294,18395,US
295,522,US
296,397,GB
297,397,US
298,10525,US
299,27985,US
300,15789,US
301,27303,US
302,21183,US
303,10954,BE
304,10954,FR
305,10954,IT
306,47867,US
307,72031,US
308,72031,FR
309,14275,US
310,1024,NZ
311,13701,US
312,14819,US
313,32631,US
314,11777,US
315,628,US
316,87729,US
317,18713,US
318,6280,US
319,9061,US
320,6071,US
321,11,US
322,9587,US
323,19101,US
324,49980,GB
325,17961,FR
326,18183,MX
327,4476,US
328,11008,US
329,47504,US
330,32325,US
331,43742,US
332,28313,US
333,11318,GB
334,3036,GB
335,3036,JP
336,3036,US
337,24070,US
338,8986,US
339,10510,US
340,17402,US
341,38722,US
342,8438,FR
343,8438,US
344,11593,US
345,1945,US
346,39310,US
347,109560,JP
348,109560,US
349,56428,GB
350,63105,US
351,241,US
352,9058,US
353,527,NZ
354,18220,US
355,6950,US
356,101,FR
357,101,US
358,63020,US
359,2307,US
360,680,US
361,41478,GB
362,41478,US
363,25296,TW
364,40156,GB
365,11450,US
366,30304,JP
367,30304,US
368,10452,FR
369,10452,DE
370,10452,IT
371,12106,JP
372,12106,US
373,161495,US
374,3586,US
375,110,FR
376,110,PL
377,110,CH
378,108,FR
379,108,PL
380,109,FR
381,109,PL
382,159185,CN
383,159185,HK
384,36357,US
385,92769,CA
386,28033,DE
387,28033,US
388,22586,US
389,14334,IE
390,14334,US
391,2636,PE
392,2636,US
393,2164,FR
394,2164,US
395,11395,US
396,278,US
397,9905,GB
398,87078,US
399,12527,CU
400,12527,ES
401,20306,US
402,36614,AU
403,27993,CA
404,27993,US
405,31439,CN
406,31439,HK
407,9067,US
408,9059,US
409,193,US
410,25066,US
411,46797,GB
412,46797,US
413,12122,US
414,11381,US
415,32636,US
416,36141,US
417,95963,US
418,1587,US
419,9271,US
420,2064,US
421,19855,US
422,60855,CA
423,236,AU
424,236,FR
425,48287,US
426,3049,US
427,2759,AU
428,12635,DE
429,12635,GB
430,10497,FR
431,10497,GB
432,10497,US
433,11382,US
434,9331,US
435,10731,US
436,10464,US
437,34152,US
438,9495,US
439,29973,US
440,888,US
441,13,US
442,712,GB
443,16295,US
444,48992,US
445,10879,US
446,10660,US
447,10714,US
448,41647,FR
449,41647,GB
450,41647,DE
451,41647,BE
452,8587,US
453,1689,FR
454,1689,IT
455,1689,LI
456,1689,GB
457,11596,US
458,854,US
459,9359,US
460,23333,US
461,36593,US
462,12280,US
463,2788,US
464,10427,US
465,11011,US
466,49803,US
467,8987,US
468,1637,US
469,15128,US
470,8831,JP
471,8831,US
472,36955,US
473,10449,US
474,10395,US
475,12160,US
476,40480,US
477,52038,GB
478,52038,IE
479,29444,US
480,26352,US
481,39953,US
482,41580,FR
483,315,US
484,22067,US
485,18242,GB
486,11667,JP
487,11667,US
488,32502,US
489,28732,US
490,75555,US
491,42981,US
492,278939,US
493,291731,US
494,203119,US
495,8011,CA
496,8011,FR
497,8011,GB
498,2654,US
499,18069,US
500,19092,US
501,2758,US
502,38129,US
503,10436,US
504,13595,US
505,46094,US
506,9409,US
507,11853,US
508,16771,US
509,46924,JP
510,46924,GB
511,11041,US
512,306,US
513,14522,GB
514,14522,US
515,26203,US
516,178,US
517,19819,US
518,57834,US
519,4722,US
520,18215,US
521,1607,US
522,26391,US
523,117553,US
524,6075,US
525,11310,US
526,18658,US
527,9350,FR
528,9350,IT
529,9350,US
530,9612,US
531,2124,US
532,26261,US
533,19176,US
534,49299,US
535,11566,US
536,9571,US
537,9739,US
538,24257,US
539,34444,US
540,26141,US
541,10997,CN
542,10997,HK
543,50463,US
544,10443,US
545,20239,GB
546,20239,US
547,16297,US
548,18551,US
549,25440,IE
550,25440,GB
551,9024,US
552,37233,US
553,1634,FR
554,1634,US
555,13815,FR
556,13815,US
557,5503,US
558,35588,US
559,2087,JP
560,2087,US
561,41579,US
562,18620,US
563,41006,ZA
564,41006,US
565,4916,US
566,2019,US
567,31642,FR
568,31642,US
569,9255,US
570,26271,US
571,10612,GB
572,2259,DK
573,2259,FR
574,2259,DE
575,2259,PT
576,2259,US
577,11934,DE
578,11934,GB
579,11934,US
580,106143,US
581,12475,US
582,9386,US
583,7984,GB
584,7984,IE
585,59930,US
586,15765,US
587,31643,US
588,6,JP
589,6,US
590,329,US
591,10909,US
592,507,FR
593,507,US
594,34024,US
595,29918,US
596,9593,US
597,42580,US
598,22317,AU
599,22317,US
600,1413,US
601,12121,FR
602,12121,US
603,2246,US
604,10502,US
605,10440,US
606,9516,US
607,2320,US
608,5879,JP
609,83718,US
610,11971,GB
611,11971,US
612,2625,US
613,31911,US
614,788,US
615,21450,GB
616,11231,US
617,41588,US
618,10447,US
619,31586,US
620,9300,GB
621,9300,FR
622,9300,IT
623,9300,NL
624,9300,RU
625,9559,US
626,9800,US
627,713,NZ
628,713,AU
629,713,FR
630,8291,US
631,18133,US
632,25557,US
633,22588,US
634,10872,US
635,1245,GB
636,1245,US
637,11858,CA
638,11858,US
639,7007,US
640,10467,US
641,5550,US
642,8005,FR
643,8005,US
644,2088,GB
645,2088,US
646,10412,AU
647,47889,US
648,14534,US
649,56583,US
650,41878,FR
651,41878,IT
652,424,US
653,35233,US
654,14291,US
655,103413,GB
656,103413,US
657,11236,US
658,11592,US
659,8850,US
660,10445,GB
661,695,US
662,43535,US
663,12519,AU
664,12519,GB
665,23210,US
666,858,US
667,867,US
668,78,US
669,78,HK
670,78,GB
671,13203,US
672,10442,US
673,11074,US
674,9607,GB
675,9607,US
676,17585,US
677,9057,US
678,20967,FI
679,20967,CA
680,20967,NL
681,20967,PT
682,10635,US
683,9479,US
684,10057,US
685,10057,AT
686,11969,US
687,41590,US
688,319,US
689,26408,US
690,15139,US
691,161158,CA
692,85247,GB
693,85247,US
694,85247,CA
695,11446,US
696,51980,BE
697,51980,FR
698,51980,IT
699,24405,US
700,11655,MX
701,11800,US
702,8223,FR
703,8223,ES
704,14587,GB
705,31504,US
706,41653,DK
707,41653,SE
708,23637,IT
709,17600,US
710,10897,US
711,21352,US
712,68806,IT
713,32562,US
714,47507,FR
715,47507,BE
716,25403,IT
717,25403,FR
718,124304,IT
719,124304,AR
720,9066,US
721,771,US
722,251,US
723,812,US
724,280,FR
725,280,US
726,581,GB
727,581,US
728,80350,US
729,268,GB
730,268,US
731,274,US
732,408,US
733,10020,US
734,10895,US
735,114,US
736,41043,FR
737,41043,RU
738,576,US
739,15477,US
740,59146,CN
741,30528,US
742,7300,US
743,10824,US
744,261246,GB
745,275,US
746,25059,CA
747,25059,US
748,11827,CA
749,8766,US
750,23570,US
751,47333,US
752,51242,IT
753,10112,US
754,4307,ES
755,46029,ES
756,46029,US
757,32308,US
758,52873,FR
759,340210,US
760,44281,FR
761,44281,IT
762,44281,TN
763,28121,US
764,12520,US
765,1592,US
766,19042,US
767,38884,FR
768,38884,DE
769,38884,ES
770,38884,GB
771,38884,IT
772,47449,US
773,36259,US
774,41852,US
775,40926,US
776,9099,US
777,2021,FR
778,2021,GB
779,61752,US
780,10988,US
781,11479,FR
782,398959,DE
783,287305,DE
784,339428,DE
785,12652,DE
786,12652,FR
787,12652,IT
788,10684,US
789,954,US
790,68445,IS
791,68445,DK
792,68445,DE
793,68445,JP
794,68445,US
795,18989,US
796,10801,DE
797,54285,KR
798,8840,US
799,278978,DE
800,124625,GB
801,124625,DE
802,124625,IE
803,124625,AT
804,11107,US
805,16417,ZA
806,10363,FR
807,10363,IT
808,161070,GB
809,161070,US
810,10539,US
811,10543,US
812,18414,US
813,18414,CA
814,47502,US
815,11902,RS
816,11902,FR
817,11902,DE
818,11902,HU
819,11902,CZ
820,27098,SE
821,27098,DK
822,25087,US
823,5801,IN
824,896,IN
825,3065,US
826,2300,US
827,8069,US
828,288173,US
829,221917,IE
