movie_language_id,movie_id,language_code
0,862,en
1,8844,en
2,8844,fr
3,15602,en
4,31357,en
5,11862,en
6,949,en
7,949,es
8,11860,fr
9,11860,en
10,45325,en
11,45325,de
12,9091,en
13,710,en
14,710,ru
15,710,es
16,9087,en
17,12110,en
18,12110,de
19,21032,en
20,10858,en
21,1408,en
22,1408,la
23,524,en
24,4584,en
25,5,en
26,9273,en
27,11517,en
28,8012,en
29,1710,en
30,1710,de
31,9691,en
32,9691,es
33,9691,nl
34,12665,en
35,451,en
36,16420,en
37,9263,en
38,17015,en
39,902,cn
40,902,fr
41,37557,zh
42,9909,en
43,63,en
44,63,fr
45,78802,en
46,9598,en
47,47018,en
48,687,en
49,139405,ru
50,139405,en
51,33689,en
52,9603,es
53,9603,en
54,34615,en
55,31174,en
56,11443,en
57,35196,en
58,35196,es
59,9312,en
60,577,en
61,11861,en
62,807,en
63,10530,en
64,8391,en
65,629,es
66,629,en
67,629,fr
68,629,hu
69,11448,en
70,49133,sq
71,49133,it
72,26441,en
73,26441,de
74,97406,en
75,124057,en
76,9089,en
77,9089,es
78,11010,it
79,11010,es
80,99040,en
81,99040,fr
82,11359,en
83,17182,en
84,17182,fr
85,17182,ko
86,17182,es
87,2054,en
88,10607,en
89,10607,es
90,19760,en
91,9536,en
92,9536,ru
93,11525,en
94,11525,hu
95,40628,en
96,4482,fr
97,4482,es
98,10634,en
99,755,en
100,755,es
101,11859,en
102,11859,es
103,28387,en
104,48750,fr
105,20927,en
106,36929,en
107,9102,en
108,124626,de
109,124626,en
110,27526,en
111,9623,en
112,46785,fa
113,400,en
114,880,nl
115,146599,en
116,8447,en
117,10534,da
118,10534,en
119,10534,fr
120,10534,de
121,17414,en
122,17414,fr
123,17414,ru
124,13997,en
125,2086,en
126,61548,en
127,9095,en
128,12158,en
129,9283,en
130,9208,en
131,40154,en
132,406,fr
133,45549,en
134,63076,en
135,11062,en
136,13685,es
137,13685,en
138,47475,en
139,2045,en
140,9614,en
141,688,en
142,11907,de
143,10874,en
144,89333,en
145,197,en
146,197,fr
147,197,la
148,197,gd
149,103,en
150,103,es
151,33542,cn
152,33542,en
153,43566,en
154,43566,fr
155,43566,de
156,71754,en
157,43612,fr
158,51352,en
159,16934,en
160,10324,en
161,78406,en
162,55731,en
163,32119,en
164,11066,fr
165,11066,en
166,11104,cn
167,11104,en
168,11104,ja
169,11104,zh
170,37975,it
171,2074,en
172,27793,en
173,44284,ar
174,44284,fr
175,110972,en
176,32622,en
177,73067,en
178,11863,en
179,55475,es
180,124636,en
181,9101,en
182,123360,en
183,5757,en
184,39428,en
185,9302,fr
186,11000,en
187,11000,fr
188,249882,en
189,249882,hr
190,249882,bs
191,16388,en
192,9737,en
193,30765,de
194,10474,en
195,22279,en
196,30157,en
197,568,en
198,11780,en
199,34996,en
200,414,en
201,649,fr
202,649,mn
203,649,es
204,1873,en
205,5894,en
206,1775,en
207,8839,en
208,20649,en
209,10329,en
210,10329,fr
211,8963,en
212,26564,en
213,8068,en
214,8512,en
215,1572,en
216,1572,de
217,1572,ro
218,13552,en
219,259209,en
220,6520,en
221,6520,fr
222,9073,en
223,9073,id
224,9073,ms
225,10428,en
226,10428,it
227,10428,ja
228,10428,ru
229,17447,en
230,17447,fr
231,9886,en
232,9886,ja
233,9482,en
234,19326,en
235,9344,en
236,9071,en
237,8973,en
238,15730,en
239,47608,en
240,2293,en
241,9070,en
242,68274,en
243,48787,ru
244,48787,en
245,34574,de
246,34574,en
247,1642,en
248,1642,es
249,11472,en
250,11472,ru
251,36196,en
252,11980,en
253,58372,en
254,32646,en
255,10533,en
256,10802,en
257,10149,en
258,18402,en
259,9348,en
260,139408,hu
261,139408,en
262,281,en
263,5967,fr
264,79593,en
265,47939,en
266,36834,en
267,9090,en
268,9090,es
269,3512,en
270,52856,en
271,77350,en
272,9560,en
273,9804,en
274,9804,de
275,9804,es
276,31611,en
277,65796,cn
278,65796,en
279,49805,en
280,26258,en
281,26258,de
282,50797,ru
283,19155,sq
284,19155,en
285,19155,mk
286,76,en
287,76,de
288,76,fr
289,11017,fr
290,11017,es
291,11017,en
292,37141,en
293,9382,en
294,6715,en
295,18256,en
296,18256,it
297,18256,sv
298,22625,en
299,2292,en
300,1909,en
301,8984,en
302,61813,en
303,4954,en
304,62488,en
305,10531,en
306,11929,en
307,8467,en
308,10451,zh
309,20156,en
310,20156,he
311,18395,en
312,522,en
313,397,fr
314,397,en
315,10525,en
316,27985,en
317,15789,en
318,27303,en
319,21183,en
320,10954,fr
321,47867,en
322,43475,en
323,72031,en
324,14275,en
325,1024,en
326,17207,en
327,17207,ru
328,13701,en
329,14819,en
330,32631,en
331,32631,fr
332,32631,de
333,11777,en
334,11777,de
335,628,en
336,628,fr
337,87729,en
338,18713,en
339,6280,en
340,9061,en
341,37108,en
342,6071,en
343,11,en
344,9587,en
345,9587,de
346,9587,fr
347,19101,en
348,19101,fr
349,49980,en
350,17961,fr
351,18183,en
352,18183,es
353,4476,kw
354,4476,en
355,11008,en
356,47504,en
357,32325,en
358,32325,es
359,43742,en
360,28313,en
361,11318,en
362,3036,en
363,40490,en
364,24070,en
365,8986,en
366,10510,en
367,17402,en
368,38722,en
369,38722,es
370,8438,en
371,11593,cs
372,11593,en
373,11593,hu
374,1945,en
375,39310,en
376,109560,en
377,109560,cn
378,56428,en
379,63105,en
380,131957,en
381,241,en
382,241,nv
383,241,ja
384,9058,en
385,527,en
386,527,mi
387,18220,en
388,6950,en
389,6950,ko
390,6950,fr
391,101,en
392,63020,en
393,2307,en
394,680,en
395,680,es
396,680,fr
397,41478,en
398,25296,en
399,25296,zh
400,40156,en
401,11450,en
402,30304,tl
403,30304,en
404,30304,ja
405,10452,fr
406,10452,it
407,12106,en
408,161495,en
409,3586,fr
410,3586,it
411,3586,ru
412,3586,es
413,3586,en
414,110,fr
415,108,fr
416,108,pl
417,109,fr
418,109,hu
419,109,pl
420,159185,zh
421,36357,en
422,92769,en
423,28033,en
424,22586,en
425,14334,en
426,14334,ga
427,2636,en
428,2164,en
429,2164,no
430,2164,sv
431,11395,en
432,278,en
433,9905,en
434,87078,en
435,12527,es
436,20306,en
437,36614,en
438,27993,en
439,27993,de
440,31439,zh
441,9067,en
442,9059,en
443,193,en
444,25066,en
445,46797,en
446,12122,en
447,11381,en
448,32636,en
449,36141,en
450,95963,en
451,1587,en
452,9271,en
453,2064,en
454,19855,en
455,60855,cn
456,60855,en
457,236,en
458,48287,en
459,3049,en
460,2759,en
461,12635,en
462,12635,fr
463,12635,de
464,12635,ru
465,10497,fr
466,10497,en
467,11382,en
468,9331,en
469,10731,en
470,10464,en
471,10464,fr
472,34152,en
473,9495,en
474,29973,en
475,888,en
476,13,en
477,712,en
478,16295,en
479,48992,en
480,48992,es
481,10879,en
482,10879,fr
483,10660,en
484,10714,en
485,10714,sk
486,41647,de
487,8587,en
488,1689,en
489,11596,en
490,854,sv
491,854,en
492,9359,en
493,23333,en
494,36593,en
495,12280,en
496,2788,en
497,10427,en
498,11011,en
499,11011,la
500,49803,en
501,8987,en
502,1637,en
503,15128,en
504,8831,en
505,36955,en
506,36955,fr
507,36955,ar
508,36955,de
509,10449,en
510,10449,fr
511,10449,vi
512,10395,en
513,12160,en
514,40480,en
515,52038,en
516,29444,en
517,26352,en
518,39953,en
519,41580,fr
520,315,en
521,22067,en
522,18242,en
523,11667,en
524,11667,ja
525,32502,en
526,28732,en
527,75555,en
528,278939,en
529,291731,en
530,226229,en
531,203119,en
532,8011,en
533,2654,en
534,18069,en
535,18069,fr
536,19092,en
537,2758,en
538,38129,en
539,10436,en
540,10436,it
541,13595,en
542,46094,en
543,9409,en
544,11853,en
545,11853,ru
546,16771,es
547,16771,en
548,46924,en
549,46924,gd
550,11041,en
551,306,en
552,14522,en
553,26203,en
554,178,en
555,19819,en
556,57834,fr
557,57834,en
558,4722,en
559,18215,en
560,1607,en
561,1607,it
562,26391,en
563,117553,en
564,6075,en
565,6075,es
566,11310,en
567,11310,it
568,11310,ru
569,18658,en
570,9350,en
571,9612,en
572,2124,cs
573,2124,en
574,26261,en
575,26261,hu
576,19176,en
577,49299,en
578,11566,en
579,9571,en
580,9739,en
581,24257,en
582,34444,en
583,34444,de
584,26141,en
585,26141,yi
586,10997,zh
587,50463,en
588,10443,en
589,20239,en
590,16297,en
591,18551,en
592,25440,en
593,9024,en
594,37233,en
595,1634,en
596,13815,en
597,5503,en
598,35588,en
599,35588,fr
600,2087,en
601,41579,en
602,18620,en
603,41006,en
604,4916,en
605,2019,en
606,31642,en
607,31642,vi
608,9255,en
609,26271,en
610,10612,en
611,2259,es
612,2259,en
613,16097,en
614,11934,en
615,106143,en
616,12475,en
617,9386,en
618,7984,en
619,59930,en
620,15765,en
621,31643,en
622,31643,fr
623,6,en
624,329,en
625,329,es
626,10909,en
627,507,en
628,507,fr
629,34024,en
630,29918,en
631,9593,en
632,42580,en
633,22317,en
634,22317,de
635,1413,en
636,12121,en
637,2246,en
638,10502,en
639,10440,en
640,9516,en
641,2320,en
642,5879,ja
643,83718,en
644,11971,en
645,2625,en
646,31911,en
647,788,en
648,21450,en
649,11231,en
650,41588,en
651,10447,en
652,31586,en
653,9300,en
654,9559,en
655,9800,en
656,713,en
657,713,mi
658,8291,en
659,8291,fr
660,18133,en
661,25557,en
662,22588,en
663,10872,en
664,1245,en
665,11858,en
666,11858,es
667,7007,ja
668,7007,en
669,10467,en
670,5550,en
671,5550,ja
672,8005,en
673,2088,en
674,10412,pt
675,10412,de
676,10412,en
677,10412,ja
678,10412,vi
679,47889,en
680,14534,en
681,14534,es
682,56583,en
683,41878,fr
684,41878,de
685,41878,es
686,424,de
687,424,pl
688,424,he
689,424,en
690,35233,en
691,14291,en
692,103413,en
693,11236,en
694,11592,en
695,8850,en
696,10445,en
697,695,en
698,43535,en
699,12519,en
700,23210,en
701,858,en
702,867,en
703,78,en
704,78,de
705,78,cn
706,78,ja
707,78,hu
708,13203,en
709,10442,ru
710,10442,en
711,11074,en
712,33367,en
713,9607,en
714,17585,en
715,9057,en
716,20967,fr
717,20967,en
718,10635,en
719,9479,en
720,10057,en
721,11969,en
722,11969,la
723,11969,es
724,41590,en
725,319,en
726,319,it
727,26408,en
728,15139,da
729,15139,en
730,15139,fr
731,15139,de
732,15139,es
733,161158,en
734,85247,en
735,11446,en
736,51980,fr
737,24405,en
738,11655,en
739,11655,es
740,11800,en
741,8223,es
742,14587,en
743,14587,hi
744,31504,en
745,41653,sv
746,53185,en
747,95743,en
748,23637,it
749,17600,en
750,10897,en
751,21352,en
752,68806,it
753,37345,en
754,32562,en
755,47507,fr
756,25403,ar
757,25403,en
758,25403,it
759,25403,zh
760,9066,it
761,9066,de
762,9066,en
763,9066,hu
764,771,en
765,251,en
766,812,en
767,280,en
768,280,es
769,581,en
770,80350,en
771,268,en
772,268,fr
773,274,en
774,408,en
775,10020,fr
776,10020,en
777,10895,en
778,114,en
779,114,it
780,114,ja
781,41043,fr
782,41043,ru
783,576,en
784,576,de
785,576,es
786,15477,en
787,59146,zh
788,30528,en
789,7300,en
790,10824,en
791,261246,en
792,275,en
793,11827,en
794,11827,hu
795,8766,en
796,23570,en
797,47333,en
798,47333,fr
799,51242,it
800,10112,en
801,4307,es
802,46029,en
803,32308,en
804,88893,it
805,88893,en
806,52873,fr
807,123505,en
808,340210,en
809,44281,ar
810,28121,en
811,12520,en
812,1592,en
813,1592,es
814,166901,en
815,36447,en
816,19042,en
817,38884,ca
818,38884,en
819,38884,es
820,47449,en
821,36259,en
822,41852,en
823,40926,en
824,9099,en
825,2021,en
826,61752,en
827,10988,en
828,11479,fr
829,398959,de
830,339428,de
831,12652,fr
832,10684,en
833,954,en
834,954,fr
835,954,cs
836,68445,de
837,68445,is
838,68445,ja
839,68445,en
840,18989,en
841,10801,de
842,54285,ko
843,8840,en
844,278978,de
845,124625,en
846,124625,de
847,11107,en
848,11107,it
849,16417,af
850,16417,en
851,10363,en
852,10363,fr
853,10363,it
854,161070,en
855,10539,en
856,10543,en
857,18414,en
858,47502,en
859,11902,en
860,11902,fr
861,11902,de
862,11902,ru
863,11902,sr
864,27098,de
865,27098,sv
866,27098,en
867,25087,en
868,5801,bn
869,896,bn
870,3065,en
871,318177,en
872,2300,en
873,8069,en
874,288173,es
875,288173,en
876,221917,en
877,8072,fr
878,35797,en
879,35797,fr
880,88030,en
881,88030,pt
882,83857,en
883,33245,en
884,33245,ru
885,124460,en
886,27281,en
887,27281,vi
888,105045,de
889,40001,en
890,29621,en
891,117730,he
892,20762,it
893,20762,en
894,37144,en
895,48260,en
896,12656,en
897,38867,en
898,25969,en
899,44103,nl
900,44103,fr
901,44103,la
902,44103,es
903,753,en
904,43634,en
905,43634,es
906,9103,en
907,90214,en
908,29649,en
909,10990,en
910,8866,en
911,12233,en
912,23449,en
913,36355,en
914,37667,en
915,90148,en
916,90148,es
917,922,en
918,922,es
919,11876,fr
920,11876,it
921,52633,en
922,62364,es
923,11687,fr
924,9304,en
925,131232,it
926,9100,en
927,20759,en
928,46063,en
929,32513,en
930,40651,en
931,40651,de
932,36915,en
933,40507,es
934,40507,en
935,9802,en
936,25697,en
937,21588,en
938,21588,it
939,664,en
940,11867,en
941,47119,fr
942,314352,de
943,9323,ja
944,10280,en
945,10535,en
946,124613,en
947,532,en
948,26744,en
949,26744,fr
950,16299,en
951,10547,en
952,245268,en
953,935,en
954,55613,de
955,55613,en
956,41007,en
957,35645,en
958,110465,en
959,255546,en
960,255546,pt
961,40751,cn
962,40751,zh
963,85778,en
964,11101,de
965,11101,ru
966,9826,en
967,9879,en
968,63564,en
969,22621,en
970,7095,en
971,26890,en
972,46732,en
973,124633,en
974,124633,sr
975,202425,fr
976,77771,ar
977,77771,fr
978,77771,wo
979,181083,fr
980,41225,en
981,41225,fr
982,41225,de
983,41225,it
984,87190,en
985,627,en
986,32872,en
987,32872,fr
988,602,en
989,14553,en
990,9566,en
991,10545,la
992,10545,en
993,9894,en
994,11543,en
995,9268,en
996,9327,en
997,123763,es
998,81949,en
999,81949,ro
1000,42005,hu
1001,183955,tl
1002,44535,en
1003,44495,en
